Run Id	Device	Curve	Size	Material	Date	Time	Temperature	Temperature Corrected	Irradiance	Irradiance Corrected	Jsc	Isc	Voc	Impp	Vmpp	Pmpp	FF	Eta	n1	n2	IscSlope	Rshunt	Rseries	Jo1	Jo2	Slope Voc
			[cm2]				[C]		[W/m2]		[mA/cm2]	[mA]	[mV]	[mA]	[mV]	[mW]	[%]	[%]			[Ohm]	[Ohm.cm2]	[mOhm.cm2]	[A/cm2]	[A/cm2]	[mOhm]
	T39	Illuminated IV2	0.159	None	27/04/2021	11:18:42 AM	25	no	1000.83954451346	yes	10.0516144331837	1.5982066948762	1034.06349417492	1.4901192730376	869.948654248313	1.29632725624854	78.4394429000902	8.15300161162603	0	2	100000000	0	0	0	0	43288.2171064868
	T20	Illuminated IV1	0.159	None	27/04/2021	11:18:59 AM	25	no	1000.83954451346	yes	5.17120409676276	0.822221451385279	984.957929534984	0.755548168141176	810.77731108837	0.612581312163247	75.6409996543187	3.85271265511476	0	2	128816.274645189	0	0	0	0	85936.3910552578
	T20	Illuminated IV2	0.159	None	27/04/2021	11:19:05 AM	25	no	1000.83954451346	yes	5.16769590426678	0.821663648778418	985.977005912403	0.757538157560411	812.044705061797	0.615154849729201	75.931781897945	3.86889842596982	0	2	100000000	0	0	0	0	86017.3217984942
	T18	Illuminated IV1	0.159	None	27/04/2021	11:19:24 AM	25	no	1000.83954451346	yes	4.31494916083633	0.686076916572976	976.583175434122	0.630418924514695	805.037368272496	0.507510791900487	75.7466161404604	3.19189177295904	0	2	139579.024332173	0	0	0	0	101521.010981317
	T18	Illuminated IV2	0.159	None	27/04/2021	11:19:31 AM	25	no	1000.83954451346	yes	4.31841988512834	0.686628761735406	979.149054831553	0.631397479476978	806.918865081484	0.509486537554873	75.7812758075269	3.20431784625706	0	2	171623.369761414	0	0	0	0	92847.348186444
	T8	Illuminated IV1	0.159	None	27/04/2021	11:20:04 AM	25	no	1000.83954451346	yes	3.2930873624498	0.523600890629518	973.717230410758	0.482738647575531	811.622495297366	0.391801545721729	76.8480608701583	2.46416066491653	0	2	272455.371077157	0	0	0	0	125915.52101301
	T8	Illuminated IV2	0.159	None	27/04/2021	11:20:09 AM	25	no	1000.83954451346	yes	3.27410068648384	0.52058200915093	969.298683590547	0.479901303632069	801.940747827117	0.38485241031791	76.2688912188506	2.42045541080446	0	2	410717.765277284	0	0	0	0	125803.007312858
	T5.1	Illuminated IV1	0.159	None	27/04/2021	11:20:25 AM	25	no	1000.83954451346	yes	2.36411327230926	0.375894010297173	958.380141377992	0.341996503715483	792.401483986471	0.270998537062333	75.2252664724767	1.70439331485744	0	2	346161.581926399	0	0	0	0	142591.80951993
	T5.1	Illuminated IV2	0.159	None	27/04/2021	11:20:32 AM	25	no	1000.83954451346	yes	2.3597277948988	0.375196719388909	959.292330131361	0.342746347395048	794.412801096987	0.272282085899861	75.6500230107025	1.71246594905573	0	2	919631.46027603	0	0	0	0	142741.201677663
	Room light	Illuminated IV2	0.159	None	27/04/2021	11:21:14 AM	25	no	1000.83954451346	yes	0.101659462384815	0.0161638545191856	831.524972337652	0.0155214392811307	685.624916397295	0.0106418855094909	79.1768742813265	0.066930097543968	0	2	696441.320720085	0	0	0	0	2831154.74554471
	Torch	Illuminated IV1	0.159	None	27/04/2021	11:21:57 AM	25	no	1000.83954451346	yes	3.88024430809873	0.616958844987698	976.13317354928	0.572836017597125	807.77939897883	0.462725134008033	76.8347747908256	2.91022096860398	0	2	100000000	0	0	0	0	108210.885011273
	Torch	Illuminated IV2	0.159	None	27/04/2021	11:22:04 AM	25	no	1000.83954451346	yes	3.85028468455457	0.612195264844177	974.298658902423	0.566858940334342	803.197973550995	0.455299952165808	76.3335629123039	2.86352171173464	0	2	100000000	0	0	0	0	109779.671250414

